X,Y,id_0,id,FacilityID,Full_Name,Reg_Rd_No,L_LADD,L_HADD,R_LADD,R_HADD,Left_Mun,Right_Mun,Status,Owner,Managed_By,LifeCycle,vertex_index,vertex_part,vertex_part_index,distance,angle,icon_url,auxiliary_storage_labeling_labelrotation
-79.4818247275604,42.9648119074441,"7107","1504","20078",Wellandport Road,"4","64080","64098","64081","64099",Wainfleet,Wainfleet,Public Maintained Road,RMN,RMN,Active,"3","0","3",80.9904714361328,23.6804753062298,./0.png,
-79.3072448846793,42.9693890628442,"7214","1512","20976",Regional Road 27,"27","60401","60599","60400","60598",Wainfleet,Wainfleet,Public Maintained Road,RMN,RMN,Active,"25","0","25",937.746335993131,279.158786553018,./0.png,
-79.5754872742634,42.9918199327789,"7266","1523","27106",Robinson Road,"15","75800","75898","75801","75899",Wainfleet,Wainfleet,Public Maintained Road,RMN,RMN,Active,"4","0","4",383.861048263885,28.4642059277014,./0.png,
-79.437927552899,43.0002061972758,"7296","1525","27170",Regional Road 27,"27","73001","73199","73000","73198",Wainfleet,Wainfleet,Public Maintained Road,RMN,RMN,Active,"20","0","20",793.663133625025,273.061011468001,./0.png,
-79.2639862486235,43.0537644910758,"7366","1535","27663",Highway 20,"20","2603","2879","2562","2880",Thorold,Thorold,Public Maintained Road,RMN,RMN,Active,"2","0","2",382.00407657171,237.936764702084,./0.png,
-78.941188981837,42.9256813901893,"7432","1540","28000",Thompson Road,"122","1799","1819","1732","1818",Fort Erie,Fort Erie,Public Maintained Road,RMN,RMN,Active,"2","0","2",67.0769167651051,350.762079760196,./0.png,
-79.5924355167455,42.9929852857945,"7488","1547","17135",Canborough Road,"63","7104","7370","7107","7369",West Lincoln,West Lincoln,Public Maintained Road,RMN,RMN,Active,"10","0","10",716.427672199916,271.945862826762,./0.png,
-79.6223894043283,43.2132484781421,"7490","1548","18107",South Service Road,"40","0","0","0","0",Grimsby,Grimsby,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,287.367870031526,./0.png,
-79.6511606680874,43.0157053562602,"7498","1549","03866",Smithville Road,"14","500","526","475","525",West Lincoln,West Lincoln,Public Maintained Road,RMN,RMN,Active,"2","0","2",170.622167160454,40.6853836611837,./0.png,
-79.53353355497,42.9723151767432,"7504","1552","27110",Marshagan Road,"7","65000","65098","65001","65099",Wainfleet,Wainfleet,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,14.3459383917771,./0.png,
-79.1101733816093,43.1380332025024,"7524","1553","28061",Mountain Road,"101","6632","6780","6631","6779",Niagara Falls,Niagara Falls,Public Maintained Road,RMN,RMN,Active,"8","0","8",169.968324670264,259.129237339487,./0.png,
-79.7118470119806,43.036716631385,"7606","1569","17081",Caistorville Road,"2","276","716","349","717",West Lincoln,West Lincoln,Public Maintained Road,RMN,RMN,Active,"6","0","6",261.506702566734,358.664966492188,./0.png,
-79.3763246285562,42.8851417998938,"7622","1571","20178",Station Road,"3","12020","12098","12021","12099",Wainfleet,Wainfleet,Public Maintained Road,RMN,RMN,Active,"5","0","5",1731.1972782824,358.130826401371,./0.png,
-79.6511606680874,43.0157053562602,"7663","1578","17084",Smithville Road,"14","528","640","527","639",West Lincoln,West Lincoln,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,39.5717344538886,./0.png,
-78.9564246473717,42.9195171698408,"7694","1580","15808",Gilmore Road,"19","683","1199","700","1198",Fort Erie,Fort Erie,Public Maintained Road,RMN,RMN,Active,"17","0","17",1265.71397734609,265.742310129082,./0.png,
-79.2157005441108,43.0750870513978,"7746","1587","28246",Highway 20,"20","1721","1849","1722","1848",Thorold,Thorold,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,241.102532385766,./0.png,
-79.2157005441108,43.0750870513978,"7750","1588","21303",Highway 20,"20","1701","1719","1700","1720",Thorold,Thorold,Public Maintained Road,RMN,RMN,Active,"1","0","1",226.519378466976,241.10226080302,./0.png,
-79.3878141776597,43.0354229775765,"7789","1597","24475",Victoria Avenue,"24","1168","1350","1247","1359",West Lincoln,Pelham,Public Maintained Road,RMN,RMN,Active,"1","0","1",487.501909388396,357.742352176688,./0.png,
-79.0419653607844,42.9637282720318,"7807","1601","14481",Netherby Road,"25","3353","3499","3352","3498",Fort Erie,Fort Erie,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,268.710707583644,./0.png,
-79.3603217084714,43.1643148573686,"7822","1606","25286",Jordan Road,"26","4158","4190","4159","4215",Lincoln,Lincoln,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,355.865572606876,./0.png,
-79.2963770228321,43.1245528974276,"7908","1614","28511",Fifth Street Louth,"28","2372","2754","2373","2753",St. Catharines,St. Catharines,Public Maintained Road,RMN,RMN,Active,"6","0","6",1192.51589381967,175.068427844825,./0.png,
-79.2700674335648,43.0208867160063,"8109","1642","22501",Rice Road,"54","313","399","388","400",Welland,Welland,Public Maintained Road,RMN,RMN,Active,"2","0","2",380.822159929413,359.341545020963,./0.png,
-79.2700674335648,43.0208867160063,"8110","1643","28428",Rice Road,"54","401","427","402","410",Welland,Welland,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,359.34199301424,./0.png,
-79.0926493843865,43.2454756624795,"8124","1646","28456",Niagara Stone Road,"55","2146","2200","2147","2199",Niagara-on-the-Lake,Niagara-on-the-Lake,Public Maintained Road,RMN,RMN,Active,"2","0","2",234.897151354783,42.1939552500842,./0.png,
-79.0735238020813,43.1533919510508,"8154","1649","30348",Portage Road,"61","2","550","1","551",Niagara-on-the-Lake,Niagara-on-the-Lake,Public Maintained Road,RMN,RMN,Active,"22","0","22",1313.26820716356,68.5021903884444,./0.png,
-79.4665363358679,43.0075113136295,"8217","1653","24816",Canborough Road,"63","4700","4904","4701","4899",West Lincoln,West Lincoln,Public Maintained Road,RMN,RMN,Active,"18","0","18",1062.18371433434,238.562963494456,./0.png,
-79.3798877039926,43.0241715703698,"8223","1654","28527",Canborough Road,"63","3514","3898","3525","3899",West Lincoln,West Lincoln,Public Maintained Road,RMN,RMN,Active,"5","0","5",891.660668805094,255.940956098198,./0.png,
-79.205872091648,43.1111728813906,"8245","1657","30209",Beaverdams Road,"67","1501","1543","1500","1522",Thorold,Thorold,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,246.445925990312,./0.png,
-79.437863759884,43.135088386051,"8279","1661","17567",Fly Road,"73","4208","4448","4207","4449",Lincoln,Lincoln,Public Maintained Road,RMN,RMN,Active,"1","0","1",333.457209816037,268.233420138733,./0.png,
-79.6484351621833,43.1627853096528,"8285","1664","03393",Mud Street West,"73","8232","8302","470","498",West Lincoln,Grimsby,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,285.571240365506,./0.png,
-79.1899581477053,43.1835367812691,"8348","1676","28360",Stewart Road,"86","132","514","121","515",Niagara-on-the-Lake,Niagara-on-the-Lake,Public Maintained Road,RMN,RMN,Active,"7","0","7",749.641804312661,356.359656851889,./0.png,
-79.1687137014011,43.1723672013653,"8401","1682","08680",Airport Road,"90","0","0","0","0",Niagara-on-the-Lake,Niagara-on-the-Lake,Public Maintained Road,RMN,RMN,Active,"4","0","4",746.361342131144,356.893281486115,./0.png,
-79.1224467918622,43.0110746543875,"8412","1686","11316",Montrose Road,"98","11444","11780","11445","11855",Niagara Falls,Niagara Falls,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,178.675425254512,./0.png,
-79.0551634458163,42.9106613111861,"8477","1696","15711",Gorham Road,"116","1109","1329","1110","1328",Fort Erie,Fort Erie,Public Maintained Road,RMN,RMN,Active,"6","0","6",463.823158446193,23.5100464631366,./0.png,
-79.0549274422803,42.9523685166761,"8484","1698","15869",Stevensville Road,"116","2709","2829","2710","2830",Fort Erie,Fort Erie,Public Maintained Road,RMN,RMN,Active,"4","0","4",433.970651932413,358.390034113639,./0.png,
